,School,Director of admissions,Application fee,Admissions phone,Admissions email,Application URL,Website,Virtual Tour URL,TOEFL and/or IELTS required for international students,Minimum TOEFL score required,Minimum IELTS score required,Acceptance rate (postbaccalaureate certificate),ApplicationsPostbaccalaureate,Percent of new entrants providing GPA scoresPostbaccalaureate,Average undergraduate GPAPostbaccalaureate,Percent of new entrants providing verbal GRE scoresPostbaccalaureate,Percent of new entrants providing quantitative GRE scoresPostbaccalaureate,Percent of new entrants providing writing GRE scoresPostbaccalaureate,Average GRE scorePostbaccalaureate,Average GRE analytical writing scorePostbaccalaureate,GRE policyPostbaccalaureate,Acceptance rate (master's),Applications(Master's),Percent of new entrants providing GPA scores(Master's),Average undergraduate GPA(Master's),Percent of new entrants providing verbal GRE scores(Master's),Percent of new entrants providing quantitative GRE scores(Master's),Percent of new entrants providing writing GRE scores(Master's),Average GRE score(Master's),Average GRE analytical writing score(Master's),GRE policy(Master's),Acceptance rate (education specialist),Enrollment,Applications(Education Specialist),Percent of new entrants providing GPA scores(Education Specialist),Average undergraduate GPA(Education Specialist),Percent of new entrants providing verbal GRE scores(Education Specialist),Percent of new entrants providing quantitative GRE scores(Education Specialist),Percent of new entrants providing writing GRE scores(Education Specialist),Average GRE score(Education Specialist),Average GRE analytical writing score(Education Specialist),GRE policy(Education Specialist),Degree programs offered,Categories of study offered to education specialist students,Any programs in education offered off campus,Offers online program in education,Certificate program graduates,Master's program graduates,Education specialist program graduates,Doctoral program graduates,Full-time faculty (tenured or tenure-track),Full-time faculty (nontenured or tenure track),Part-time faculty,Full-time faculty with doctoral degrees,Full-time tenured or tenure-track faculty who received awards or were editors of educational journals during 2020 and 2021,Total enrollment,Total enrollment (full-time),Minority students,International students,Student diversity (full-time),Financial aid director,Financial aid phone,"Tuition (postbaccalaureate, full-time)","Tuition (postbaccalaureate, part-time)","Tuition (master's, full-time)","Tuition (master's, part-time)","Tuition (education specialist, full-time)","Tuition (education specialist, part-time)","Tuition (doctoral, full-time)","Tuition (doctoral, part-time)",Room and board,Type of education school,Memberships,School accredited by the National Council for Accreditation of Teacher Education (NCATE),School accredited by the Teacher Education Accreditation Council (TEAC),School accredited by the Council for Accreditation of Education Preparation (CAEP),Initial teacher preparation levels offered,Total students in certificate-level teacher training programs,Total students in master's teacher training programs,Total students in education specialist degree teacher training programs,Total graduate students in teacher training programs,Number of certificate programs completed,Number of teacher training master's degrees awarded,Number of teacher training education specialist degrees awarded,Number of full-time tenured or tenure-track faculty involved in teacher training programs,Are professional development/partnership schools used in teaching programs?,Are students in internships or doing practice teaching assigned to peer working groups?,Are students in internship/practice teaching programs mentored?,Students who took an assessment to become a certified or licensed teacher during 2020-2021,Number of these students who passed the assessment,Number of 2021 graduates licensed to teach,Number of 2021 graduates who accepted teaching positions for fall 2021,Number of 2019 graduates licensed to teach,Number of 2019 graduates who accepted teaching positions for fall 2018,Number of these 2019 graduates who were still employed as teachers in fall 2021,Application deadlines,Advanced teacher preparation levels offered,"Of students reporting specialty information, percent specializing in",Programs/courses offered in,Categories of study offered to master's students,Gender distribution (full-time)
72,Illinois State University," Jeff Mavros, Director of Admissions", $50, (309) 438-2181, admissions@illinoisstate.edu, Website, Website, Website, Yes,, N/A, 80%, 5, 100%, 3.7, N/A, N/A, N/A, N/A, N/A, N/A, 81.3%, 187, 75%, 3.6, 1%, 1%, 1%,, 4.5, N/A, 25%,, 64, 70%, 3.8, 20%, 20%, 20%,, 4.3, N/A," Bachelor's, post-baccalaureate certificate, master's, education specialist, Ph.D., Ed.D.",, Yes, Yes, 35, 272, 21, 54, 113, 15, 32, 99%, 0%, 926, 208, N/A, N/A, N/A, Bridget Curl, (309) 438-2231, N/A,,,,,,,," $8,462", School of education with undergraduate and graduate divisions," CADREI (Council of Academic Deans from Research Education Institutions), AACTE (American Associate of Colleges for Teacher Education)", N/A, N/A, Yes," Four-year undergraduate program(s) (bachelor's), Licensure only at baccalaureate level, Post-baccalaureate, non-degree", N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A," Yes, used in some teaching programs"," Yes, in some teaching programs"," Yes, all students are mentored", 886, 886, 886, N/A, 772, N/A, N/A, N/A,,,,,
73,Loyola Marymount University, Mary Fraser, $50, (310) 258-8791, soeinfo@lmu.edu, Website, Website, Website, Yes,, 7, 70%, 140, 91%, 3.24, 3%, 3%, 3%,, 3.3, N/A, 18.4%," 2,365", 93%, 3.29, 24%, 24%, 24%,, 3.8, N/A, 46.7%,, 75, 94%, 3.37, 10%, 10%, 10%,, 4, N/A," Post-baccalaureate certificate, master's, education specialist, Ed.D.",, Yes, Yes, 388, 450, 11, 14, 30, 9, 130, 100%, 3.3%, 949, 726, N/A, N/A, N/A, Lindsay McCarthy, (310) 338-2753, N/A," $1,403 per credit"," $1,403 per credit"," $1,403 per credit"," $1,403 per credit"," $1,403 per credit"," $1,749 per credit", N/A," $20,786", Graduate school of education," CADREI (Council of Academic Deans from Research Education Institutions), AACTE (American Associate of Colleges for Teacher Education), HACU (Hispanic Association of Colleges and Universities)", N/A, N/A, Yes," Licensure only at baccalaureate level, Post-baccalaureate, non-degree, Five-year combined undergraduate/graduate program(s), Master's program(s)", 18, 458, 0, 476, 247, 331, N/A, 15," Yes, used in some teaching programs"," Yes, in some teaching programs"," Yes, all students are mentored", 52, 47, 303, N/A, 481, N/A, N/A,,,,,,
74,University of Massachusetts--Amherst, Kate Woodmansee, $85, (413) 545-0722, gradadm@grad.umass.edu, Website, Website, Website, Yes,, 6.5, 100%, 10, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 70.1%, 214, 34%, 3.46, 4%, 4%, 4%,, 4, N/A, 64.1%,, 39, 28%, 3.27, 9%, 9%, 4%,, 4, N/A," Bachelor's, post-baccalaureate certificate, master's, education specialist, Ph.D., Ed.D.",, Yes, Yes, 10, 87, 23, 32, 55, 10, 29, 100%, 9.1%, 413, 270, N/A, N/A, N/A, Lauren Lamica, (413) 545-0801, N/A, N/A,,,,,,," $13,598", School of education with undergraduate and graduate divisions," CADREI (Council of Academic Deans from Research Education Institutions), AACTE (American Associate of Colleges for Teacher Education)", N/A, N/A, N/A," Four-year undergraduate program(s) (bachelor's), Licensure only at baccalaureate level, Post-baccalaureate, non-degree, Five-year combined undergraduate/graduate program(s), Master's program(s)", 10, 63, 51, 124, 10, 50, 13, 33," Yes, used in some teaching programs"," Yes, in some teaching programs"," Yes, all students are mentored", N/A, N/A, 142, N/A, 160, N/A, N/A,,,,,,
75,Auburn University, Dr. George Flowers, $60, (334) 844-4700, gradadm@auburn.edu, Website, Website, Website, Yes,, 6.5, 89.9%, 69, 84%, 3.1, N/A, N/A, N/A, N/A, N/A, N/A, 67.6%, 361, 95%, 3.43, 18%, 18%, 17%,, 3.6, N/A, 88.6%,, 44, 96%, 3.43, 30%, 30%, 30%,, 3.3, N/A," Bachelor's, post-baccalaureate certificate, master's, education specialist, Ph.D.",, No, Yes, 47, 238, 36, 67, 85, 45, 41, 100%, 0%," 1,000", 442, N/A, N/A, N/A, Michael C. Reynolds, (334) 844-4634,,,,,,,,," $7,298", School of education with undergraduate and graduate divisions," CADREI (Council of Academic Deans from Research Education Institutions), AACTE (American Associate of Colleges for Teacher Education), Holmes Partnership", Yes, N/A, N/A," Four-year undergraduate program(s) (bachelor's), Post-baccalaureate, non-degree, Master's program(s)", 31, 401, 82, 514, 2, 74, 30, 56," Yes, used in all teaching programs"," Yes, in some teaching programs"," Yes, all students are mentored", 17, 17, 17, N/A, 17, N/A, N/A,,, N/A,,,
76,Ball State University, Kates Brommeland, $60, (866) 285-4723, gradrecruit@bsu.edu, Website, Website, Website, Yes,, 6.5, 93.6%, 500, 99%, 3.37, N/A, N/A, N/A, N/A, N/A, N/A, 90.3%," 1,226", 98%, 3.32, N/A, N/A, N/A, N/A, N/A, N/A, 81.3%,, 32, 100%, 3.49, N/A, N/A, N/A, N/A, N/A, N/A," Bachelor's, post-baccalaureate certificate, master's, education specialist, Ph.D., Ed.D.",, Yes, Yes, 479," 1,790", 11, 51, 220, 128, 139, 91%, 6.8%," 3,773", 502, N/A, N/A, N/A, John McPherson, (765) 285-5600,,,,,,,,," $12,310", School of education with undergraduate and graduate divisions," CADREI (Council of Academic Deans from Research Education Institutions), AACTE (American Associate of Colleges for Teacher Education), TECSCU (Teacher Education Council of State Colleges and Universities)", N/A, N/A, Yes," Four-year undergraduate program(s) (bachelor's), Licensure only at baccalaureate level, Post-baccalaureate, non-degree, Master's program(s)", 376," 2,815", 16," 3,207", 467," 1,660", 6, N/A," Yes, used in some teaching programs"," Yes, in some teaching programs"," Yes, all students are mentored", 401, 306, N/A, N/A, N/A, N/A, N/A,,,,,,
77,Claremont Graduate University, Timothy Council, $80, (909) 621-8263, admissions@cgu.edu, Website, Website, N/A, Yes, N/A, N/A, 90%, 10, 75%, 3.17, N/A, N/A, N/A, N/A, N/A, N/A, 56.5%, 124, 73%, 3.27, 3%, 3%, 3%,, 4, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A," Post-baccalaureate certificate, master's, Ph.D.",, Yes, Yes, 4, 77, N/A, 30, 10, 5, 45, 100%, 10%, 316, 83, N/A, N/A, N/A, Kristal Gama, (909) 621-8337," $1,980 per credit"," $1,980 per credit"," $1,980 per credit"," $1,980 per credit", N/A, N/A," $1,980 per credit"," $1,980 per credit", N/A, Graduate school of education," CADREI (Council of Academic Deans from Research Education Institutions), AACTE (American Associate of Colleges for Teacher Education)", N/A, N/A, N/A," Post-baccalaureate, non-degree, Five-year combined undergraduate/graduate program(s), Master's program(s)", 10, 34, N/A, 44, 4, 44, N/A, 10," Yes, used in all teaching programs"," Yes, in all teaching programs"," Yes, all students are mentored", N/A, N/A, 44, 27, 45, 40, N/A, N/A,, N/A,,,
78,Oklahoma State University, Dr. Sheryl Tucker, $50, (405) 744-6368, grad-i@okstate.edu, Website, Website, N/A, Yes,, 6.5, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 57.3%, 553, 47%, 3.46, 16%, 16%, 16%,, 4, N/A, 55.6%, N/A, 9, 33%, 3.5, 67%, 67%, 67%,, 3.8, N/A," Bachelor's, master's, education specialist, Ph.D., Ed.D.",, Yes, Yes, 0, 201, 10, 63, 136, 35, 152, 100%, 0%," 1,035", 590, N/A, N/A, N/A, Chad M. Blew, (405) 744-6604, N/A, N/A,,,,,,," $11,540", School of education with undergraduate and graduate divisions," CADREI (Council of Academic Deans from Research Education Institutions), AACTE (American Associate of Colleges for Teacher Education)", Yes, N/A, N/A," Four-year undergraduate program(s) (bachelor's), Master's program(s)", 0, 101, 13, 114, 0, 49, 10, 45," Yes, used in some teaching programs"," Yes, in some teaching programs"," Yes, all students are mentored", 259, 217, 181, N/A, 189, N/A, N/A, N/A,,,,,
79,University of Mississippi, Dr. Annette Kluck, $50, (662) 915-7474, admissions@olemiss.edu, Website, Website, N/A, Yes,, 6, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 99.7%, 353, 100%, 3.5, 17%, 17%, 17%,, 3.7, N/A, 73.9%, N/A, 88, 100%, 3.6, 17%, 17%, 17%,, 3.3, N/A," Bachelor's, master's, education specialist, Ph.D., Ed.D.",, Yes, Yes, N/A, 158, 32, 28, 46, 21, 80, 100%, 4.3%, 693, 232, N/A, N/A, N/A, Laura Diven-Brown, (662) 915-5788, N/A, N/A,,,,,,," $12,628", School of education with undergraduate and graduate divisions," CADREI (Council of Academic Deans from Research Education Institutions), AACTE (American Associate of Colleges for Teacher Education)", Yes, N/A, Yes," Four-year undergraduate program(s) (bachelor's), Master's program(s)", N/A, 183, 5, 188, N/A, 78, 1, 27," Yes, used in all teaching programs"," Yes, in all teaching programs"," Yes, all students are mentored", 9, 8, 204, 131, 251, 138, 125, N/A,,,,,
80,University of North Carolina--Charlotte (Cato), Kathy Giddings, $75, (704) 687-7263, gradcounselor@uncc.edu, Website, Website, N/A, Yes,, 6.5, 90.6%, 562, N/A, N/A, 4%, 4%, 4%,, 3.3, N/A, 65.6%, 659, N/A, N/A, 10%, 10%, 10%,, 3.8, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A," Bachelor's, post-baccalaureate certificate, master's, Ph.D., Ed.D.", N/A, Yes, Yes, 417, 265, N/A, 47, 83, 35, 89, 100%, 2.4%," 1,844", 286, N/A, N/A, N/A, Bruce Blackmon, (704) 687-7010,,,,, N/A, N/A,,," $12,895", School of education with undergraduate and graduate divisions," CADREI (Council of Academic Deans from Research Education Institutions), AACTE (American Associate of Colleges for Teacher Education)", N/A, N/A, Yes," Four-year undergraduate program(s) (bachelor's), Post-baccalaureate, non-degree, Master's program(s)", 693, 458, N/A," 1,151", 195, 122, N/A, 75," Yes, used in some teaching programs"," Yes, in all teaching programs"," Yes, all students are mentored", 541, 476, 531, N/A, 408, N/A, N/A, N/A,,,,,
81,University of Utah, John Marfield, $55, (801) 581-8761, admissions@utah.edu, Website, Website, N/A, Yes,, 6.5, 100%, 7, 100%, 3.57, N/A, N/A, N/A, N/A, N/A, N/A, 58.7%, 356, 100%, 3.62, 100%, 100%, 100%,, 4.3, N/A, 17.5%,, 57, 100%, 3.33, 100%, 100%, 100%,, 4.4, N/A," Bachelor's, post-baccalaureate certificate, master's, education specialist, Ph.D., Ed.D.",, Yes, No, 14, 165, 3, 42, 52, 24, 1, 100%, 13.5%, 611, 389, N/A, N/A, N/A, Karen Henriquez, (801) 581-6211,,,,,, N/A,,," $12,978", School of education with undergraduate and graduate divisions," CADREI (Council of Academic Deans from Research Education Institutions), AACTE (American Associate of Colleges for Teacher Education)", N/A, N/A, Yes," Four-year undergraduate program(s) (bachelor's), Licensure only at baccalaureate level, Post-baccalaureate, non-degree, Master's program(s)", 3, 68, N/A, 71, 7, 36, 0, 9," Yes, used in all teaching programs"," Yes, in all teaching programs"," Yes, all students are mentored", 48, 48, 41, N/A, 20, N/A, N/A, N/A,,,,,
82,William & Mary, Dorothy Osborne, $50, (757) 221-2317, GradEd@wm.edu, Website, Website, Website, Yes,, 7, 92.3%, 13, 100%, 3.2, N/A, N/A, N/A, N/A, N/A, N/A, 49%," 1,052", 100%, 3.44, 6%, 6%, 6%,, 4.4, N/A, 100%,, 9, 100%, 3.62, 100%, 100%, 100%,, 4.1, N/A," Bachelor's, post-baccalaureate certificate, master's, education specialist, Ph.D., Ed.D.",, No, Yes, 16, 154, 11, 25, 38, 14, 43, 100%, 0%, 814, 265, N/A, N/A, N/A, Dorothy Osborne, (757) 221-2317, N/A,,,,,,,," $16,201", School of education with undergraduate and graduate divisions," CADREI (Council of Academic Deans from Research Education Institutions), AACTE (American Associate of Colleges for Teacher Education), Holmes Partnership", Yes, N/A, Yes," Four-year undergraduate program(s) (bachelor's), Five-year combined undergraduate/graduate program(s), Master's program(s)", 12, 57, 0, 69, 16, 60, 0, 12," Yes, used in all teaching programs"," Yes, in all teaching programs"," Yes, all students are mentored", 60, 58, 70, 70, 67, 67, N/A,,,,,,
83,Brigham Young University--Provo (McKay), Logan Gillette, $50, (801) 422-4091, gradstudies@byu.edu, Website, Website, Website, Yes,, 7, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 41.2%, 177, 100%, 3.77, 62%, 62%, 62%,, 4.5, N/A, 33.3%,, 39, 100%, 3.62, 100%, 100%, 100%,, 4.4, N/A," Bachelor's, master's, education specialist, Ph.D., Ed.D.",, No, No, N/A, 62, 14, 30, 68, 14, 35, 100%, 1.5%, 318, 163, N/A, N/A, N/A, Stephen E. Hill, (801) 422-4104, N/A, N/A," $15,400 per year", $906 per credit," $15,400 per year", N/A," $15,400 per year", $906 per credit," $13,648", School of education with undergraduate and graduate divisions, AACTE (American Associate of Colleges for Teacher Education), N/A, N/A, Yes, Four-year undergraduate program(s) (bachelor's), N/A, 32, 37, 69, N/A, 8, 14, 37," Yes, used in all teaching programs"," Yes, in all teaching programs"," Yes, all students are mentored", 459, 459, 455, N/A, 429, N/A, N/A,,,,,,
84,Fordham University, Abraham Johnson, $70, (212) 636-6400, gse_admiss@fordham.edu, Website, Website, N/A, Yes,, 7, 81.1%, 132, 88%, 3.56, 2%, 2%, 2%,, 6, N/A, 58.5%, 633, 89%, 3.5, 20%, 23%, 17%,, 3.7, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A," Post-baccalaureate certificate, master's, Ph.D., Ed.D.", N/A, Yes, Yes, 35, 232, N/A, 47, 27, 5, 51, 100%, 0%, 862, 195, N/A, N/A, N/A, Anisa Torres-Sanchez, (212) 636-7611," $1,500 per credit"," $1,500 per credit"," $1,500 per credit"," $1,500 per credit", N/A, N/A," $1,500 per credit"," $1,500 per credit"," $21,126", Graduate school of education," CADREI (Council of Academic Deans from Research Education Institutions), AACTE (American Associate of Colleges for Teacher Education), Holmes Partnership", Yes, N/A, N/A," Post-baccalaureate, non-degree, Five-year combined undergraduate/graduate program(s), Master's program(s)", 17, 200, N/A, 217, 2, 132, N/A, 9," Yes, used in some teaching programs"," Yes, in all teaching programs"," Yes, all students are mentored", 187, 172, 121, N/A, 56, N/A, N/A, N/A,,,,,
85,Iowa State University, Katharine Johnson Suski, $60, (515) 294-5836, admissions@iastate.edu, Website, Website, N/A, Yes,, 6.5, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 62.8%, 94, 53%, 3.2, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A," Bachelor's, post-baccalaureate certificate, master's, Ph.D., Ed.D.", N/A, Yes, Yes, N/A, 66, N/A, 14, 33, N/A, 6, 100%, 0%, 216, 34, N/A, N/A, N/A, Roberta Johnson, (515) 294-2223, N/A, N/A,,, N/A, N/A,,," $9,362", School of education with undergraduate and graduate divisions," CADREI (Council of Academic Deans from Research Education Institutions), AACTE (American Associate of Colleges for Teacher Education)", N/A, N/A, N/A," Four-year undergraduate program(s) (bachelor's), Post-baccalaureate, non-degree, Master's program(s)", N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, No," Yes, in some teaching programs"," Yes, all students are mentored", N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A,, N/A,,,
86,St. John's University, Samantha Wright, $70, (718) 990-2000, graded@stjohns.edu, Website, Website, Website, Yes,, 7, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 54.2%, 345, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 54.7%, N/A, 75, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A," Bachelor's, master's, education specialist, Ph.D., Ed.D.",, Yes, Yes, N/A, 255, 80, 104, 44, 4, 67, 100%, 6.8%, 878, 199, N/A, N/A, N/A, Maryanne Twomey, (718) 990-2000, N/A, N/A," $1,345 per credit"," $1,345 per credit"," $1,345 per credit"," $1,345 per credit"," $1,345 per credit"," $1,345 per credit", N/A, School of education with undergraduate and graduate divisions, AACTE (American Associate of Colleges for Teacher Education), N/A, Yes, N/A," Four-year undergraduate program(s) (bachelor's), Five-year combined undergraduate/graduate program(s), Master's program(s)", N/A, 237, 48, 285, N/A, 199, 38, 44," Yes, used in some teaching programs"," Yes, in some teaching programs"," Yes, all students are mentored", N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A,,,,,
87,University of South Carolina, Murray F. Mitchell, $50, (803) 777-4243, gradapp@mailbox.sc.edu, Website, Website, N/A, Yes,, 6.5, 80%, 5, 100%, 3.67, 5%, 5%, 5%,, 3.8, N/A, 95.9%, 588, 100%, 3.5, 5%, 5%, 5%,, 4, N/A, 80%,, 125, 100%, 3.45, 8%, 8%, 8%,, 3.9, N/A," Bachelor's, post-baccalaureate certificate, master's, education specialist, Ph.D., Ed.D.",, Yes, Yes, 29, 305, 34, 99, 76, 31, 89, 100%, 15.8%," 1,384"," 1,134", N/A, N/A, N/A, Joseph C. Derrick, (803) 777-8134,,,,,,,,," $8,218", School of education with undergraduate and graduate divisions," CADREI (Council of Academic Deans from Research Education Institutions), AACTE (American Associate of Colleges for Teacher Education), Holmes Partnership", N/A, N/A, Yes," Four-year undergraduate program(s) (bachelor's), Post-baccalaureate, non-degree, Five-year combined undergraduate/graduate program(s), Master's program(s)", 0, 110, 0, 110, 0, 72, 0, 36," Yes, used in some teaching programs"," Yes, in some teaching programs"," Yes, all students are mentored", 68, 64, 312, N/A, N/A, N/A, N/A, N/A,,,,,
88,East Carolina University, Heidi Terry, $75, (252) 328-6013, gradschool@ecu.edu, Website, Website, N/A, Yes,, 6.5, 71.9%, 57, 84%, 3.32, 16%, 16%, 16%,, 4, N/A, 68.6%, 363, 96%, 3.35, 13%, 13%, 13%,, 3.5, N/A, 83.3%,, 12, 100%, 3.07, 20%, 20%, 10%,, 4.5, N/A," Bachelor's, post-baccalaureate certificate, master's, education specialist, Ed.D.",, Yes, Yes, 62, 285, 5, 40, 49, 14, 33, 100%, 0%, 966, 182, N/A, N/A, N/A, Julie L. Poorman, (252) 328-6610,,,,, N/A,,,," $9,848", School of education with undergraduate and graduate divisions," CADREI (Council of Academic Deans from Research Education Institutions), AACTE (American Associate of Colleges for Teacher Education), TECSCU (Teacher Education Council of State Colleges and Universities)", Yes, N/A, Yes," Four-year undergraduate program(s) (bachelor's), Licensure only at baccalaureate level, Post-baccalaureate, non-degree, Master's program(s)", 32, 229, 13, 274, 7, 86, 5, 33," Yes, used in some teaching programs"," Yes, in all teaching programs"," Yes, all students are mentored", N/A, N/A, 2, 1, 19, 3, 3, N/A,,,,,
89,Marquette University, Katie Ruetz, $50, (414) 288-4880, mugs@marquette.edu, Website, Website, N/A, Yes,, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 77.3%, 97, 95%, 3.49, 10%, 10%, 10%,, 4.1, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A," Bachelor's, post-baccalaureate certificate, master's, Ph.D.", N/A, No, No, 2, 45, N/A, 3, 12, 5, 14, 100%, 16.7%, 164, 74, N/A, N/A, N/A, Thomas S. Marek, (414) 288-5325, N/A, $915 per credit, $915 per credit, $915 per credit, N/A, N/A, $915 per credit, $915 per credit, N/A, School of education with undergraduate and graduate divisions, AACTE (American Associate of Colleges for Teacher Education), N/A, N/A, N/A," Four-year undergraduate program(s) (bachelor's), Post-baccalaureate, non-degree, Master's program(s)", N/A, 6, N/A, 6, 0, 11, 0, 9," Yes, used in all teaching programs"," Yes, in all teaching programs"," Yes, all students are mentored", N/A, N/A, 51, N/A, N/A, N/A, N/A,,,,,,
90,Ohio University, Dr. Katherine Tadlock, $50, (740) 593-2800, graduate@ohio.edu, Website, Website, Website, Yes,, 6, 100%, 4, 100%, 3.57, N/A, N/A, N/A, N/A, N/A, N/A, 76.3%, 241, 67%, 3.41, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A," Bachelor's, post-baccalaureate certificate, master's, Ph.D., Ed.D.", N/A, Yes, Yes, 9, 299, N/A, 34, 47, 42, 50, 100%, 0%, 683, 322, N/A, N/A, N/A, Valerie Miller, (740) 593-4141, N/A,,,, N/A, N/A,,," $13,494", School of education with undergraduate and graduate divisions," CADREI (Council of Academic Deans from Research Education Institutions), AACTE (American Associate of Colleges for Teacher Education), Holmes Partnership", Yes, N/A, N/A," Four-year undergraduate program(s) (bachelor's), Master's program(s)", N/A, 131, N/A, 131, 0, 105, 0, 18," Yes, used in all teaching programs"," Yes, in all teaching programs"," Yes, all students are mentored", 481, 394, N/A, N/A, N/A, N/A, N/A, N/A,,,,,
91,Old Dominion University (Darden), William Heffelfinger, $50, (757) 683-3685, admit@odu.edu, Website, Website, N/A, Yes,, 6.5, 88.3%, 60, 30%, 3.09, 10%, 10%, 10%,, 3.8, N/A, 68.7%, 502, 85%, 3.23, 7%, 7%, 7%,, 3.8, N/A, 64.7%,, 34, 72%, 3.2, 22%, 22%, 22%,, 4.1, N/A," Bachelor's, post-baccalaureate certificate, master's, education specialist, Ph.D.",, Yes, Yes, 39, 283, 30, 96, 89, 37, 162, 96%, 2.2%," 1,439", 452, N/A, N/A, N/A, Vera Riddick - Director, (757) 683-3683,,,,,,,,, N/A, School of education with undergraduate and graduate divisions," CADREI (Council of Academic Deans from Research Education Institutions), AACTE (American Associate of Colleges for Teacher Education), TECSCU (Teacher Education Council of State Colleges and Universities)", N/A, N/A, Yes," Four-year undergraduate program(s) (bachelor's), Post-baccalaureate, non-degree, Five-year combined undergraduate/graduate program(s), Master's program(s)", 77, 712, 71, 860, 22, 202, 24, 52," Yes, used in some teaching programs"," Yes, in some teaching programs"," Yes, all students are mentored", 443, 393, 192, N/A, N/A, N/A, N/A, N/A,,,,,
92,University of Alabama, Landon Waid, $65, (205) 348-5921, gradschool@ua.edu, Website, Website, N/A, Yes,, 6.5, 68.6%, 35, 29%, 3.62, 14%, 14%, 29%,, 4.5, N/A, 57.3%, 576, 6%, 3.33, 4%, 4%, 5%,, 4.1, N/A, 52.8%,, 123, 13%, 3.02, 3%, 3%, 3%,, 4, N/A," Bachelor's, post-baccalaureate certificate, master's, education specialist, Ph.D., Ed.D.",, Yes, Yes, 0, 147, 26, 64, 90, 49, 249, 100%, 1.1%," 1,204", 457, N/A, N/A, N/A, Helen Allen, (205) 348-7949, N/A,,,,,,,," $11,534", School of education with undergraduate and graduate divisions," CADREI (Council of Academic Deans from Research Education Institutions), AACTE (American Associate of Colleges for Teacher Education)", Yes, N/A, N/A," Four-year undergraduate program(s) (bachelor's), Five-year combined undergraduate/graduate program(s), Master's program(s)", 22, 200, 49, 271, 0, 54, 8, 47," Yes, used in some teaching programs"," Yes, in some teaching programs"," Yes, all students are mentored", N/A, N/A, 120, N/A, 138, N/A, N/A, N/A,,,,,
93,University of California--Riverside, Heather Killeen, $105, (951) 827-6362, edgrad@ucr.edu, Website, Website, N/A, Yes,, 7, 43.5%, 23, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 52.1%, 470, 100%, 3.48, 2%, 2%, 2%,, 4.5, N/A, N/A,, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A," Bachelor's, post-baccalaureate certificate, master's, education specialist, Ph.D.",, No, No, 18, 181, N/A, 14, 25, 9, 20, 100%, 0%, 275, 254, N/A, N/A, N/A, Jose Aguilar, (951) 827-3878,, N/A,, N/A, N/A, N/A,, N/A," $12,000", School of education with undergraduate and graduate divisions," CADREI (Council of Academic Deans from Research Education Institutions), AACTE (American Associate of Colleges for Teacher Education), HACU (Hispanic Association of Colleges and Universities)", N/A, N/A, N/A," Post-baccalaureate, non-degree, Master's program(s)", 6, 136, N/A, 142, 18, 115, N/A, 25," Yes, used in all teaching programs"," Yes, in all teaching programs"," Yes, all students are mentored", 93, 73, 133, 52, 128, 26, 26, N/A,,,,,
